IP地址,端口,回源端口,TLS,城市,地区,国家,城市,TCP延迟(ms),速度(MB/s)
102.177.176.211,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,334,9.74
102.177.176.223,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,305,9.74
102.177.176.251,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,285,9.73
102.177.176.171,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,364,9.71
102.177.176.125,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,229,9.7
86.38.214.49,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,230,9.67
86.38.214.69,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,232,9.66
102.177.176.77,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,212,9.65
102.177.176.72,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,253,9.65
102.177.176.79,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,370,9.64
102.177.176.114,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,336,9.6
102.177.176.137,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,292,9.59
102.177.176.74,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,348,9.58
102.177.176.204,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,246,9.58
102.177.176.168,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,220,9.56
102.177.176.123,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,363,9.55
102.177.176.252,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,325,9.52
102.177.176.127,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,273,9.51
102.177.176.154,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,190,9.5
102.177.176.200,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,432,9.5
86.38.214.144,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,285,9.48
86.38.214.254,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,276,9.47
86.38.214.197,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,225,9.47
86.38.214.127,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,189,9.46
86.38.214.82,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,191,9.45
86.38.214.74,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,186,9.45
86.38.214.97,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,201,9.44
86.38.214.186,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,269,9.44
86.38.214.90,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,411,9.44
86.38.214.185,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,286,9.43
86.38.214.143,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,277,9.43
86.38.214.235,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,328,9.42
86.38.214.108,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,223,9.4
86.38.214.80,8443,443,TRUE,Ashburn-cf,Europe,FR,Ashburn-cf,265,9.4
86.38.214.128,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,176,9.34
86.38.214.179,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,312,9.34
86.38.214.93,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,305,9.34
86.38.214.233,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,236,9.3
86.38.214.107,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,401,9.3
86.38.214.71,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,418,9.3
86.38.214.63,8443,443,TRUE,Ashburn-cf,Europe,FR,Ashburn-cf,357,9.3
86.38.214.88,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,285,9.3
86.38.214.216,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,266,9.29
86.38.214.102,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,451,9.29
86.38.214.119,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,316,9.27
86.38.214.220,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,238,9.25
86.38.214.209,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,266,9.23
86.38.214.180,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,163,9.2
86.38.214.183,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,375,9.16
86.38.214.121,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,337,9.12
86.38.214.124,8443,443,TRUE,Ashburn-cf,Europe,NL,Ashburn-cf,441,9.11
86.38.214.173,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,270,9.11
86.38.214.231,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,269,9.11
86.38.214.228,8443,443,TRUE,Ashburn-cf,Europe,NL,Ashburn-cf,281,9.09
86.38.214.167,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,382,9.09
86.38.214.170,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,264,9.07
86.38.214.211,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,341,9.07
86.38.214.207,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,348,9.05
86.38.214.148,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,236,9.05
86.38.214.65,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,242,9.04
86.38.214.172,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,325,9.04
86.38.214.157,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,320,9.03
86.38.214.164,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,244,9.01
86.38.214.237,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,287,9.01
86.38.214.214,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,272,8.96
86.38.214.188,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,293,8.95
86.38.214.200,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,344,8.94
102.177.176.147,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,241,8.94
102.177.176.172,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,381,8.94
102.177.176.243,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,316,8.92
102.177.176.246,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,268,8.91
86.38.214.182,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,306,8.88
86.38.214.210,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,303,8.87
86.38.214.137,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,230,8.85
86.38.214.201,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,435,8.8
198.71.233.198,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,321,8.79
198.71.233.119,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,315,8.78
45.194.53.160,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,293,8.78
45.194.53.177,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,281,8.77
45.194.53.159,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,322,8.77
198.71.233.118,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,252,8.77
45.194.53.121,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,464,8.76
45.194.53.161,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,287,8.75
45.194.53.168,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,259,8.73
45.194.53.171,8443,443,TRUE,Ashburn-cf,Europe,SE,Ashburn-cf,212,8.73
45.194.53.206,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,323,8.73
45.194.53.157,8443,443,TRUE,Ashburn-cf,Europe,FR,Ashburn-cf,190,8.71
45.194.53.179,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,153,8.71
45.194.53.200,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,349,8.71
45.194.53.198,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,342,8.68
198.71.233.48,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,257,8.67
102.177.176.20,8443,443,TRUE,Ashburn-cf,Europe,NL,Ashburn-cf,302,8.67
198.71.233.25,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,207,8.66
3.230.207.59,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,355,8.65
198.71.233.16,8443,8443,TRUE,Ashburn-cf,North America,CA,Ashburn-cf,320,8.65
198.71.233.28,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,218,8.65
198.71.233.77,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,264,8.64
198.71.233.32,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,393,8.64
198.71.233.26,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,373,8.63
198.71.233.78,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,271,8.62
198.71.233.17,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,324,8.62
198.71.233.59,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,316,8.61
198.71.233.5,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,348,8.61
198.71.233.67,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,335,8.6
198.71.233.6,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,331,8.58
198.71.233.60,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,330,8.56
198.71.233.54,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,236,8.56
198.71.233.10,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,361,8.55
198.71.233.69,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,339,8.52
198.71.233.69,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,320,8.51
198.71.233.69,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,369,8.5
198.71.233.56,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,313,8.49
198.71.233.46,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,173,8.49
198.71.233.20,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,421,8.47
86.38.214.223,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,348,8.47
86.38.214.175,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,291,8.44
86.38.214.203,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,283,8.43
86.38.214.147,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,356,8.42
86.38.214.191,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,287,8.39
86.38.214.160,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,279,8.33
102.177.176.197,8443,443,TRUE,Ashburn-cf,Europe,FR,Ashburn-cf,315,8.33
102.177.176.180,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,203,8.32
102.177.176.170,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,320,8.31
198.71.233.129,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,290,8.31
102.177.176.158,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,347,8.3
102.177.176.215,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,305,8.26
102.177.176.164,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,296,8.24
102.177.176.169,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,241,8.18
102.177.176.126,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,369,8.17
102.177.176.225,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,364,8.14
198.71.233.170,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,313,8.14
198.71.233.182,8443,443,TRUE,Ashburn-cf,Europe,FR,Ashburn-cf,302,8.14
102.177.176.178,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,198,8.11
102.177.176.208,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,211,8.1
102.177.176.73,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,299,8.09
102.177.176.217,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,320,8.06
198.71.233.84,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,335,8.06
