IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
150.230.123.254,443,443,TRUE,FRA,Europe,DE,Frankfurt,302,5.87
143.47.234.245,443,443,TRUE,FRA,Europe,DE,Frankfurt,305,5.86
141.148.241.237,443,443,TRUE,FRA,Europe,DE,Frankfurt,223,5.86
130.162.240.154,443,443,TRUE,FRA,Europe,DE,Frankfurt,393,5.85
141.148.246.93,443,443,TRUE,FRA,Europe,DE,Frankfurt,284,5.85
138.2.189.112,443,443,TRUE,FRA,Europe,DE,Frankfurt,316,5.84
84.8.151.254,443,443,TRUE,FRA,Europe,DE,Frankfurt,302,5.84
217.142.138.20,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,267,5.84
131.186.60.210,8080,443,TRUE,NRT,Asia Pacific,JP,Tokyo,73,5.84
143.47.243.144,8443,443,TRUE,LHR,Europe,GB,London,218,5.82
141.147.106.179,443,443,TRUE,FRA,Europe,DE,Frankfurt,255,5.81
141.147.19.96,443,443,TRUE,FRA,Europe,DE,Frankfurt,305,5.8
130.162.49.248,443,443,TRUE,FRA,Europe,DE,Frankfurt,285,5.79
193.122.123.53,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,325,5.78
130.162.140.232,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,316,5.74
144.21.40.182,443,443,TRUE,FRA,Europe,DE,Frankfurt,286,5.74
64.110.104.30,443,443,TRUE,KIX,Asia Pacific,JP,Osaka,151,5.74
144.21.57.8,443,443,TRUE,FRA,Europe,DE,Frankfurt,200,5.71
138.2.153.179,443,443,TRUE,FRA,Europe,DE,Frankfurt,335,5.71
141.147.31.249,443,443,TRUE,FRA,Europe,DE,Frankfurt,276,5.7
144.24.76.59,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,211,5.7
158.101.205.116,443,443,TRUE,FRA,Europe,DE,Frankfurt,253,5.69
140.245.66.31,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,203,5.68
158.178.158.200,443,443,TRUE,FRA,Europe,DE,Frankfurt,291,5.67
193.123.33.192,443,443,TRUE,FRA,Europe,DE,Frankfurt,452,5.67
158.180.65.145,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,136,5.66
143.47.178.242,443,443,TRUE,FRA,Europe,DE,Frankfurt,204,5.66
141.147.21.145,443,443,TRUE,FRA,Europe,DE,Frankfurt,339,5.65
141.144.224.113,443,443,TRUE,FRA,Europe,DE,Frankfurt,168,5.64
144.21.42.90,443,443,TRUE,FRA,Europe,DE,Frankfurt,249,5.64
168.138.46.67,443,443,TRUE,KIX,Asia Pacific,JP,Osaka,94,5.62
193.122.117.159,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,236,5.62
158.101.141.78,443,443,TRUE,NRT,Asia Pacific,JP,Tokyo,288,5.62
131.186.27.112,2096,443,TRUE,ICN,Asia Pacific,KR,Seoul,97,5.61
40.233.70.7,8443,443,TRUE,YYZ,North America,CA,Toronto,382,5.61
144.21.54.4,443,443,TRUE,FRA,Europe,DE,Frankfurt,207,5.59
141.147.40.199,443,443,TRUE,FRA,Europe,DE,Frankfurt,405,5.58
141.147.78.200,443,443,TRUE,FRA,Europe,DE,Frankfurt,264,5.58
141.147.9.213,443,443,TRUE,FRA,Europe,DE,Frankfurt,312,5.55
141.148.89.109,443,443,TRUE,IAD,North America,US,Ashburn,341,5.55
129.80.210.170,443,443,TRUE,IAD,North America,US,Ashburn,427,5.55
131.186.30.44,2053,443,TRUE,ICN,Asia Pacific,KR,Seoul,99,5.54
217.142.128.252,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,164,5.53
144.21.40.170,443,443,TRUE,FRA,Europe,DE,Frankfurt,279,5.51
143.47.246.67,443,443,TRUE,FRA,Europe,DE,Frankfurt,259,5.48
193.123.185.19,443,443,TRUE,FRA,Europe,DE,Frankfurt,465,5.48
129.154.213.181,443,443,TRUE,LAX,North America,US,Los Angeles,309,5.44
131.186.17.132,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,172,5.44
146.56.46.84,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,187,5.44
143.47.246.143,443,443,TRUE,FRA,Europe,DE,Frankfurt,196,5.44
192.9.180.162,443,443,TRUE,SYD,Oceania,AU,Sydney,214,5.43
193.123.56.181,443,443,TRUE,FRA,Europe,DE,Frankfurt,211,5.41
141.147.32.67,443,443,TRUE,FRA,Europe,DE,Frankfurt,338,5.41
129.151.204.91,443,443,TRUE,ARN,Europe,SE,Stockholm,331,5.4
141.147.104.79,443,443,TRUE,FRA,Europe,DE,Frankfurt,273,5.39
130.162.45.142,443,443,TRUE,FRA,Europe,DE,Frankfurt,283,5.39
141.148.238.135,443,443,TRUE,FRA,Europe,DE,Frankfurt,220,5.39
141.147.17.16,443,443,TRUE,FRA,Europe,DE,Frankfurt,273,5.38
144.21.57.151,443,443,TRUE,FRA,Europe,DE,Frankfurt,275,5.38
130.162.245.227,443,443,TRUE,FRA,Europe,DE,Frankfurt,362,5.38
144.21.48.118,443,443,TRUE,FRA,Europe,DE,Frankfurt,264,5.38
168.138.50.249,443,443,TRUE,KIX,Asia Pacific,JP,Osaka,129,5.37
143.47.245.50,443,443,TRUE,FRA,Europe,DE,Frankfurt,291,5.37
79.72.74.61,443,443,TRUE,FRA,Europe,DE,Frankfurt,198,5.35
132.145.54.84,8443,443,TRUE,LHR,Europe,GB,London,259,5.33
141.147.12.227,443,443,TRUE,FRA,Europe,DE,Frankfurt,339,5.32
132.145.54.84,2053,443,TRUE,LHR,Europe,GB,London,270,5.31
146.56.101.141,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,140,5.3
141.148.227.19,443,443,TRUE,AMS,Europe,NL,Amsterdam,276,5.3
141.148.228.124,443,443,TRUE,FRA,Europe,DE,Frankfurt,447,5.29
152.67.112.71,443,443,TRUE,SYD,Oceania,AU,Sydney,253,5.29
141.147.84.231,443,443,TRUE,FRA,Europe,DE,Frankfurt,280,5.27
143.47.247.216,443,443,TRUE,FRA,Europe,DE,Frankfurt,268,5.26
89.168.64.170,443,443,TRUE,FRA,Europe,DE,Frankfurt,279,5.23
130.162.227.141,443,443,TRUE,FRA,Europe,DE,Frankfurt,401,5.23
158.101.200.153,443,443,TRUE,FRA,Europe,DE,Frankfurt,227,5.22
141.147.119.118,443,443,TRUE,FRA,Europe,DE,Frankfurt,321,5.2
144.24.73.232,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,271,5.19
143.47.178.206,443,443,TRUE,FRA,Europe,DE,Frankfurt,261,5.18
152.70.62.169,443,443,TRUE,FRA,Europe,DE,Frankfurt,282,5.15
193.122.106.71,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,380,5.15
79.76.115.36,443,443,TRUE,FRA,Europe,DE,Frankfurt,228,5.15
143.47.242.153,443,443,TRUE,FRA,Europe,DE,Frankfurt,202,5.15
138.2.18.82,8880,443,TRUE,NRT,Asia Pacific,JP,Tokyo,282,5.13
84.8.151.225,443,443,TRUE,FRA,Europe,DE,Frankfurt,278,5.12
130.162.227.255,443,443,TRUE,FRA,Europe,DE,Frankfurt,393,5.11
158.178.147.209,443,443,TRUE,FRA,Europe,DE,Frankfurt,271,5.08
138.2.153.254,443,443,TRUE,FRA,Europe,DE,Frankfurt,271,5.08
158.178.151.174,443,443,TRUE,FRA,Europe,DE,Frankfurt,321,5.08
141.148.236.48,443,443,TRUE,FRA,Europe,DE,Frankfurt,239,5.05
158.101.222.4,443,443,TRUE,FRA,Europe,DE,Frankfurt,245,5.04
