IP地址,端口,回源端口,TLS,城市,地区,国家,城市,TCP延迟(ms),速度(MB/s)
192.9.242.151,8443,443,TRUE,San Jose,North America,US,San Jose,253,9.65
143.47.237.244,443,443,TRUE,Hamburg,Europe,DE,Hamburg,370,9.64
141.144.202.10,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,336,9.6
158.178.154.169,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,292,9.59
143.47.186.162,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,348,9.58
158.101.201.20,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,246,9.58
141.144.204.68,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,220,9.56
141.147.70.5,443,443,TRUE,Hamburg,Europe,DE,Hamburg,363,9.55
152.70.50.111,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,325,9.52
141.144.204.118,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,273,9.51
141.144.203.153,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,190,9.5
193.123.60.124,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,432,9.5
143.47.191.146,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,285,9.48
143.47.188.151,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,276,9.47
130.61.192.214,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,225,9.47
144.21.36.45,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,189,9.46
89.168.85.31,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,191,9.45
158.180.41.48,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,186,9.45
143.47.229.118,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,201,9.44
152.70.44.43,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,269,9.44
130.162.235.206,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,411,9.44
141.144.194.40,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,286,9.43
141.148.225.241,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,277,9.43
141.147.96.203,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,328,9.42
165.1.79.60,8443,443,TRUE,San Jose,North America,US,San Jose,223,9.4
158.101.206.131,443,443,TRUE,Paris,Europe,FR,Paris,265,9.4
144.21.60.222,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,176,9.34
150.230.121.50,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,312,9.34
158.178.147.225,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,305,9.34
152.70.160.138,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,236,9.3
138.2.180.230,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,401,9.3
129.154.204.120,443,443,TRUE,Los Angeles,North America,US,Los Angeles,418,9.3
193.123.81.105,443,443,TRUE,Paris,Europe,FR,Paris,357,9.3
141.147.13.202,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,285,9.3
150.230.125.126,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,266,9.29
84.8.155.24,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,451,9.29
152.70.190.160,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,316,9.27
158.101.202.127,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,238,9.25
141.147.0.42,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,266,9.23
150.230.147.25,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,163,9.2
152.70.123.225,8443,443,TRUE,San Jose,North America,US,San Jose,375,9.16
141.148.245.232,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,337,9.12
193.123.61.213,443,443,TRUE,Amsterdam,Europe,NL,Amsterdam,441,9.11
89.168.76.36,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,270,9.11
141.144.193.185,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,269,9.11
143.47.188.206,443,443,TRUE,Amsterdam,Europe,NL,Amsterdam,281,9.09
143.47.176.135,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,382,9.09
141.147.6.58,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,264,9.07
79.72.69.245,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,341,9.07
144.21.62.20,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,348,9.05
158.101.221.84,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,236,9.05
