IP地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）
86.38.214.221,4,4,0,223.91,24.3
86.38.214.172,4,4,0,224.51,23.44
102.177.176.110,4,4,0,226.29,23.14
102.177.176.217,4,4,0,224.31,23.04
